chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 3.329381109981589e-14 2.042651887140698e+00
0.000000000000000e+00 1.562500000000000e-02 3.308444479472806e-14 1.996820222826749e+00
0.000000000000000e+00 3.125000000000000e-02 3.245681321368315e-14 1.861664132367299e+00
0.000000000000000e+00 4.687500000000000e-02 3.141559111630175e-14 1.643764703491666e+00
0.000000000000000e+00 6.250000000000000e-02 2.997717213737805e-14 1.352820814823449e+00
0.000000000000000e+00 7.812500000000000e-02 2.817619347311197e-14 1.000255153669751e+00
0.000000000000000e+00 9.375000000000000e-02 2.606672108968726e-14 5.979442549694279e-01
0.000000000000000e+00 1.093750000000000e-01 2.371758182615785e-14 1.572657917469700e-01
0.000000000000000e+00 1.250000000000000e-01 2.120505300971564e-14 -3.115388296739918e-01
0.000000000000000e+00 1.406250000000000e-01 1.860695145482644e-14 -7.997720432488247e-01
0.000000000000000e+00 1.562500000000000e-01 1.599990357317627e-14 -1.300528518350939e+00
0.000000000000000e+00 1.718750000000000e-01 1.345852790787354e-14 -1.808815433186617e+00
0.000000000000000e+00 1.875000000000000e-01 1.105394647575553e-14 -2.321565796407893e+00
0.000000000000000e+00 2.031250000000000e-01 8.850081454471705e-15 -2.837587620309033e+00
0.000000000000000e+00 2.187500000000000e-01 6.898269172012197e-15 -3.357515806030457e+00
0.000000000000000e+00 2.343750000000000e-01 5.232151189439504e-15 -3.883834258881618e+00
0.000000000000000e+00 2.500000000000000e-01 3.864847895851964e-15 -4.420992331756857e+00
0.000000000000000e+00 2.656250000000000e-01 2.789400310246967e-15 -4.975495387225361e+00
0.000000000000000e+00 2.812500000000000e-01 1.982113098850109e-15 -5.555442583576806e+00
0.000000000000000e+00 2.968750000000000e-01 1.407332866250123e-15 -6.168107463700186e+00
0.000000000000000e+00 3.125000000000000e-01 1.021800216248677e-15 -6.813546677214890e+00
0.000000000000000e+00 3.281250000000000e-01 7.779270903561035e-16 -7.476029847924874e+00
